,M0.1,M0.2,M0.3,M0.4,M0.5,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M3.4,M3.5,M3.6,M3.7,M3.8,M3.9,M3.10,Año
14,144653200.0,1088870208.0,1233523408.0,351651075.0,1585174483.0,1088870.208,624961.8489999999,547566.421,339633.375,207933.04600000003,964595.2240000002,2065527211.0,549024419.0,601355938.0,2053465432.0,2654821370.0,3032513163.0,878143675.0,1438810206.0,2654821370.0,94240908.0,144861465.0,4238493041.0,4934506738.0,4238493041.0,4250114454.0,4946373411.0,2010
15,217848295.0,1487217228.0,1705065523.0,464581932.0,2169647455.0,1487217.2280000001,834612.5619999999,765416.1390000001,397051.451,368364.68799999997,1231664.0130000003,2734929247.0,753037553.0,812406088.0,2718881241.0,3531287329.0,3917685949.0,1168887741.0,2074048286.0,3531287329.0,115098861.0,176747574.0,5782083189.0,6541010534.0,5782083189.0,5799292880.0,6558436336.0,2011
16,257258973.0,2028013471.0,2285272444.0,663025345.0,2948297789.0,2028013.471,1060332.657,1063184.229,535613.334,527570.895,1595945.9910000002,3640109590.0,1004666965.0,1090187379.0,3623959462.0,4714146841.0,4976505093.0,1687951938.0,2706530793.0,4714146841.0,138306424.0,212023976.0,7632701610.0,8226149653.0,7632701610.0,7650691237.0,8244807806.0,2012
17,299361731.0,2649032001.0,2948393732.0,839322463.0,3787716195.0,2649032.001,1325134.4189999998,1407807.553,717200.6119999998,690606.9409999999,2042335.0310000002,4719614389.0,1350598052.0,1493607082.0,4691367032.0,6184974114.0,6420677169.09,2399538133.0,3526018073.0,6184974114.0,173316767.0,268345543.0,9979337730.0,10536852779.09,9979337730.0,9993399955.0,10551163961.09,2013
18,374025769.0,3131791737.0,3505817506.0,1045912922.0,4551730428.0,3131791.7369999997,1675307.758,1862594.5990000002,1106529.689,756064.9100000001,2781837.4470000006,5977728252.0,1735159507.0,1919264800.0,5913629184.0,7832893984.0,8219320035.0,3151197939.0,4121410290.0,7832893984.0,227962585.0,348853730.0,12303158004.0,13142484933.0,12303158004.0,12322581205.0,13162759268.0,2014
19,474571860.0,4221919840.0,4696491700.0,1315595083.0,6012086783.0,4221919.84,2220106.002,2401389.538,1342154.373,1059235.165,3562260.375,7855470798.0,2396628697.0,2608309188.0,7784180215.0,10392489403.0,10990211121.0,4455494719.0,5528489068.0,10392489403.0,308228623.0,454971358.0,16375949829.0,17525582362.0,16375949829.0,16395979664.0,17546509545.0,2015
20,675561504.0,5143882960.0,5819444464.0,1917077899.0,7736522363.0,5143882.96,2697479.5299999993,2855540.917,1518929.908,1336611.009,4216409.438,9462117484.0,3092350369.0,3322260954.0,9360292398.0,12682553352.0,14664227918.0,5816701960.0,7043778629.0,12682553352.0,404740142.0,600600687.0,20326932668.0,23423209544.0,20326932668.0,20356830154.0,23454409435.0,2016
21,881775777.0,6824644321.0,7706420098.0,2367365905.0,10073786003.0,6824644.321,3373256.0659999996,3490889.2329999995,1916770.619,1574118.614,5290026.6850000005,12233005860.0,4403400740.0,4646172161.0,12114671006.0,16760843167.0,21373883311.0,6704985667.0,8496955648.0,16760843167.0,525570139.0,773414848.0,26031213663.0,32057972430.0,26031213663.0,26101480924.0,32137597227.0,2017
22,1165015865.0,7958569842.0,9123585707.0,4232045758.0,13355631465.0,7958569.842,4039588.434,5025308.671,2975669.8999999994,2049638.7710000004,7015258.333999999,15188004379.0,5776008759.0,6271920181.0,14973828176.0,21245748357.0,29238789547.0,9300881868.0,13570171383.0,21245748357.0,657320071.0,981534302.0,35797454042.0,46768707756.0,35797454042.0,35971171837.0,46988616118.0,2018
23,1355080607.0,9332455895.0,10687536502.0,6454786863.0,17142323365.0,9332455.895,6004576.988,4894520.726,2170557.95,2723962.7759999996,8175134.937999999,17683009039.0,7245681543.0,7747515704.0,17507590833.0,25255106537.0,37605708682.0,14308665054.0,18413126273.0,25255106537.0,864908461.0,1289409627.0,44957642437.0,62022008215.0,44957642437.0,45331723399.0,62427774143.0,2019
24,2340179398.0,15877882941.0,18218062339.0,7694360792.0,25912423131.0,15877882.941,12381146.863,7507287.982999999,3603232.204,3904055.779,15984379.066999998,32029901837.0,14136607378.0,14811521439.0,31862262008.0,46673783447.0,58300695249.0,22188635570.0,28192501340.0,46673783447.0,1276042828.0,1944575256.0,76810860043.0,93292637782.0,76810860043.0,77565728968.0,94118027723.0,2020
25,1446105905.0,9706195846.0,11152301751.0,3793059143.0,14945360894.0,9706195.846,8242238.31,5330187.144,2968708.253,2361478.8910000003,11210946.561999999,21096634688.0,8893026400.0,9288533164.0,20917142408.0,30205675572.0,37671130428.0,16441408821.0,21219181092.0,30205675572.0,709730466.0,1073724640.0,52498581304.0,62782363734.0,52498581304.0,52812741243.0,63135514750.0,2021
